CampaignID,CampaignName,Channel,StartDate,EndDate,TargetAudience,Impressions,Clicks,CTRPct,CPC,Spend,Conversions,ConversionRatePct,Revenue,ROAS,CostPerConversion
MKT-7020,Retargeting Push 2023,Google Ads,2023-01-12,2023-02-24,25-34,453577,4666,1.03,3.38,15771.08,156,3.35,31724.16,2.01,101.1
MKT-7021,Lead Gen Sprint 2023,TikTok Ads,2023-01-13,2023-01-20,35-44,301627,13208,4.38,2.66,35133.28,704,5.33,154197.12,4.39,49.91
MKT-7022,Summer Launch 2023,LinkedIn Ads,2023-01-13,2023-02-15,25-34,211901,2275,1.07,0.57,1296.75,38,1.68,2683.18,2.07,34.12
MKT-7023,Brand Awareness 2023,Facebook Ads,2023-01-13,2023-02-07,35-44,381063,7404,1.94,1.03,7626.12,474,6.41,60354.42,7.91,16.09
MKT-7024,Flash Sale 2023,Facebook Ads,2023-01-16,2023-01-25,18-24,145664,5178,3.56,0.59,3055.02,460,8.89,44091.0,14.43,6.64
MKT-7025,Summer Launch 2023,Google Ads,2023-01-17,2023-01-29,18-24,413840,3372,0.82,0.98,3304.56,120,3.56,24405.6,7.39,27.54
MKT-7026,Summer Launch 2023,Google Ads,2023-01-17,2023-03-02,All Ages,156356,4595,2.94,2.31,10614.45,181,3.96,34880.51,3.29,58.64
MKT-7027,Flash Sale 2023,Google Ads,2023-01-18,2023-02-25,55+,44011,1405,3.19,0.99,1390.95,124,8.86,3490.6,2.51,11.22
MKT-7028,Holiday Promo 2023,TikTok Ads,2023-01-19,2023-01-26,All Ages,401158,17655,4.4,3.05,53847.75,1518,8.6,268048.44,4.98,35.47
MKT-7029,Retargeting Push 2023,Google Ads,2023-01-20,2023-01-31,55+,164929,3138,1.9,1.82,5711.16,162,5.19,23075.28,4.04,35.25
MKT-7030,Brand Awareness 2023,LinkedIn Ads,2023-01-21,2023-02-24,18-24,334899,4140,1.24,2.03,8404.2,108,2.62,20667.96,2.46,77.82
MKT-7031,Year-End Clearance 2023,Google Ads,2023-01-22,2023-02-06,25-34,195522,3930,2.01,1.05,4126.5,127,3.24,10928.35,2.65,32.49
MKT-7032,Flash Sale 2023,Facebook Ads,2023-01-24,2023-02-05,18-24,195816,6951,3.55,2.44,16960.44,298,4.29,64913.34,3.83,56.91
MKT-7033,Year-End Clearance 2023,LinkedIn Ads,2023-01-24,2023-03-02,55+,174207,1749,1.0,2.85,4984.65,149,8.57,14460.45,2.9,33.45
MKT-7034,New Product Drop 2023,Facebook Ads,2023-01-24,2023-02-14,45-54,324170,12473,3.85,2.17,27066.41,412,3.31,48863.2,1.81,65.7
MKT-7035,Brand Awareness 2023,Google Ads,2023-01-25,2023-02-20,55+,184252,5535,3.0,3.35,18542.25,59,1.07,8979.8,0.48,314.28
MKT-7036,New Product Drop 2023,LinkedIn Ads,2023-01-25,2023-02-09,All Ages,7254,203,2.81,1.4,284.2,12,6.14,1872.36,6.59,23.68
MKT-7037,Year-End Clearance 2023,Facebook Ads,2023-01-26,2023-02-16,45-54,211411,6571,3.11,3.37,22144.27,504,7.68,21102.48,0.95,43.94
MKT-7038,Flash Sale 2023,TikTok Ads,2023-01-26,2023-02-18,All Ages,385694,4669,1.21,2.62,12232.78,354,7.6,21912.6,1.79,34.56
MKT-7039,Holiday Promo 2023,Facebook Ads,2023-01-26,2023-03-07,25-34,433961,7778,1.79,0.71,5522.38,413,5.31,56168.0,10.17,13.37
MKT-7040,Retargeting Push 2023,Instagram Ads,2023-01-26,2023-03-08,35-44,129238,5734,4.44,2.42,13876.28,400,6.99,74560.0,5.37,34.69
MKT-7041,Holiday Promo 2023,LinkedIn Ads,2023-01-27,2023-03-05,55+,428055,13955,3.26,2.66,37120.3,1029,7.38,124169.43,3.35,36.07
MKT-7042,Brand Awareness 2023,LinkedIn Ads,2023-01-27,2023-03-12,All Ages,182961,1544,0.84,1.98,3057.12,45,2.96,8323.2,2.72,67.94
MKT-7043,Back to School 2023,Instagram Ads,2023-01-28,2023-02-16,55+,397015,9732,2.45,1.77,17225.64,354,3.65,55131.96,3.2,48.66
MKT-7044,New Product Drop 2023,LinkedIn Ads,2023-01-30,2023-03-14,55+,486229,9628,1.98,2.17,20892.76,847,8.8,120299.41,5.76,24.67
MKT-7045,Holiday Promo 2023,Facebook Ads,2023-01-31,2023-03-17,All Ages,284877,4131,1.45,1.38,5700.78,51,1.26,6679.47,1.17,111.78
MKT-7046,Brand Awareness 2023,Google Ads,2023-02-01,2023-02-14,25-34,499088,11002,2.2,1.57,17273.14,447,4.07,95054.55,5.5,38.64
MKT-7047,Lead Gen Sprint 2023,Facebook Ads,2023-02-01,2023-03-05,25-34,426239,7643,1.79,4.13,31565.59,249,3.27,33074.67,1.05,126.77
MKT-7048,Retargeting Push 2023,TikTok Ads,2023-02-02,2023-02-22,18-24,134153,4302,3.21,1.13,4861.26,381,8.86,63089.79,12.98,12.76
MKT-7049,Holiday Promo 2023,LinkedIn Ads,2023-02-03,2023-02-23,25-34,356017,15166,4.26,3.44,52171.04,585,3.86,86264.1,1.65,89.18
MKT-7050,Flash Sale 2023,Facebook Ads,2023-02-04,2023-02-27,45-54,340200,14628,4.3,3.34,48857.52,714,4.88,116910.36,2.39,68.43
MKT-7051,Brand Awareness 2023,TikTok Ads,2023-02-09,2023-03-13,25-34,187050,3354,1.79,3.06,10263.24,53,1.6,8446.08,0.82,193.65
MKT-7052,Brand Awareness 2023,Facebook Ads,2023-02-09,2023-03-02,25-34,428541,18164,4.24,0.76,13804.64,1449,7.98,43774.29,3.17,9.53
MKT-7053,Flash Sale 2023,Facebook Ads,2023-02-10,2023-02-24,35-44,166578,2276,1.37,3.85,8762.6,203,8.94,19260.64,2.2,43.17
MKT-7054,Back to School 2023,TikTok Ads,2023-02-11,2023-03-17,25-34,428459,15765,3.68,2.24,35313.6,1253,7.95,108459.68,3.07,28.18
MKT-7055,Brand Awareness 2023,Facebook Ads,2023-02-11,2023-03-13,55+,26730,570,2.14,1.08,615.6,27,4.86,1121.04,1.82,22.8
MKT-7056,New Product Drop 2023,Instagram Ads,2023-02-12,2023-03-20,55+,232784,9271,3.98,1.85,17151.35,292,3.15,24910.52,1.45,58.74
MKT-7057,Flash Sale 2023,Instagram Ads,2023-02-12,2023-03-17,45-54,414463,6843,1.65,3.49,23882.07,277,4.05,14406.77,0.6,86.22
MKT-7058,Brand Awareness 2023,TikTok Ads,2023-02-14,2023-03-24,55+,437224,12445,2.85,0.54,6720.3,390,3.14,28633.8,4.26,17.23
MKT-7059,Spring Sale 2023,Instagram Ads,2023-02-14,2023-03-28,25-34,111860,2658,2.38,0.69,1834.02,38,1.46,6159.8,3.36,48.26
MKT-7060,Brand Awareness 2023,Facebook Ads,2023-02-14,2023-03-11,45-54,376083,10442,2.78,3.06,31952.52,510,4.89,66682.5,2.09,62.65
MKT-7061,Year-End Clearance 2023,LinkedIn Ads,2023-02-15,2023-03-08,25-34,413716,13559,3.28,1.86,25219.74,994,7.34,199525.62,7.91,25.37
MKT-7062,Brand Awareness 2023,Instagram Ads,2023-02-16,2023-03-02,All Ages,198498,6777,3.41,1.84,12469.68,530,7.83,57377.8,4.6,23.53
MKT-7063,Retargeting Push 2023,Facebook Ads,2023-02-17,2023-03-14,35-44,149641,5737,3.83,2.79,16006.23,62,1.08,10587.74,0.66,258.17
MKT-7064,Summer Launch 2023,Facebook Ads,2023-02-19,2023-03-25,18-24,143280,6319,4.41,0.76,4802.44,247,3.92,35471.67,7.39,19.44
MKT-7065,Year-End Clearance 2023,Google Ads,2023-02-19,2023-03-26,All Ages,391751,14272,3.64,2.97,42387.84,608,4.26,87485.12,2.06,69.72
MKT-7066,Holiday Promo 2023,Instagram Ads,2023-02-19,2023-03-20,25-34,298929,3101,1.04,4.12,12776.12,173,5.59,28017.35,2.19,73.85
MKT-7067,Brand Awareness 2023,TikTok Ads,2023-02-21,2023-03-15,25-34,465521,5192,1.12,1.82,9449.44,148,2.86,29639.96,3.14,63.85
MKT-7068,Summer Launch 2023,Instagram Ads,2023-02-21,2023-03-12,45-54,108934,4253,3.9,1.65,7017.45,319,7.51,24604.47,3.51,22.0
MKT-7069,Retargeting Push 2023,Google Ads,2023-02-21,2023-04-07,55+,464820,18612,4.0,0.47,8747.64,903,4.85,168409.5,19.25,9.69
MKT-7070,Back to School 2023,Google Ads,2023-02-22,2023-03-23,35-44,380242,7059,1.86,2.39,16871.01,450,6.38,20124.0,1.19,37.49
MKT-7071,Summer Launch 2023,Facebook Ads,2023-02-23,2023-03-07,45-54,230046,8217,3.57,2.52,20706.84,212,2.58,31581.64,1.53,97.67
MKT-7072,Back to School 2023,Instagram Ads,2023-02-23,2023-03-13,55+,344067,7576,2.2,3.38,25606.88,549,7.25,16662.15,0.65,46.64
MKT-7073,Holiday Promo 2023,TikTok Ads,2023-02-23,2023-03-19,18-24,482069,12141,2.52,0.68,8255.88,463,3.82,34169.4,4.14,17.83
MKT-7074,Lead Gen Sprint 2023,Google Ads,2023-02-23,2023-03-19,25-34,464812,12139,2.61,3.99,48434.61,443,3.65,30026.54,0.62,109.33
MKT-7075,Brand Awareness 2023,TikTok Ads,2023-02-24,2023-03-11,25-34,167162,1774,1.06,3.51,6226.74,54,3.05,10928.52,1.76,115.31
MKT-7076,Brand Awareness 2023,Instagram Ads,2023-02-24,2023-04-10,55+,12863,505,3.93,0.58,292.9,45,8.95,2934.9,10.02,6.51
MKT-7077,Brand Awareness 2023,Instagram Ads,2023-02-24,2023-03-27,55+,492171,19162,3.89,2.28,43689.36,323,1.69,8317.25,0.19,135.26
MKT-7078,Brand Awareness 2023,TikTok Ads,2023-02-25,2023-03-16,55+,194514,7655,3.94,4.1,31385.5,104,1.36,7734.48,0.25,301.78
MKT-7079,New Product Drop 2023,LinkedIn Ads,2023-02-25,2023-04-07,25-34,413678,3116,0.75,0.53,1651.48,197,6.35,17791.07,10.77,8.38
MKT-7080,New Product Drop 2023,LinkedIn Ads,2023-02-26,2023-03-10,35-44,427683,8552,2.0,2.59,22149.68,373,4.37,38504.79,1.74,59.38
MKT-7081,Flash Sale 2023,TikTok Ads,2023-02-27,2023-03-18,18-24,481192,17975,3.74,2.18,39185.5,1147,6.38,165925.02,4.23,34.16
MKT-7082,Spring Sale 2023,Instagram Ads,2023-02-28,2023-04-01,45-54,243042,5294,2.18,0.82,4341.08,68,1.29,13158.0,3.03,63.84
MKT-7083,Retargeting Push 2023,Instagram Ads,2023-03-01,2023-03-28,18-24,85989,3762,4.38,4.18,15725.16,103,2.74,4129.27,0.26,152.67
MKT-7084,Holiday Promo 2023,Google Ads,2023-03-02,2023-04-05,18-24,472700,18914,4.0,1.49,28181.86,1653,8.74,83608.74,2.97,17.05
MKT-7085,Holiday Promo 2023,Facebook Ads,2023-03-02,2023-03-15,18-24,296756,3551,1.2,3.79,13458.29,206,5.81,18472.02,1.37,65.33
MKT-7086,Summer Launch 2023,Instagram Ads,2023-03-02,2023-03-14,55+,171563,890,0.52,1.45,1290.5,58,6.56,3703.88,2.87,22.25
MKT-7087,New Product Drop 2023,Instagram Ads,2023-03-04,2023-03-19,45-54,116893,1161,0.99,1.32,1532.52,54,4.71,5161.86,3.37,28.38
MKT-7088,Holiday Promo 2023,Facebook Ads,2023-03-04,2023-03-22,45-54,480816,21233,4.42,2.53,53719.49,1838,8.66,66076.1,1.23,29.23
MKT-7089,Spring Sale 2023,Google Ads,2023-03-05,2023-04-14,18-24,338124,9070,2.68,2.11,19137.7,573,6.32,113769.15,5.94,33.4
MKT-7090,New Product Drop 2023,Google Ads,2023-03-09,2023-04-04,25-34,474231,18201,3.84,4.12,74988.12,1067,5.86,48719.22,0.65,70.28
MKT-7091,Year-End Clearance 2023,TikTok Ads,2023-03-11,2023-03-31,55+,291417,11595,3.98,2.29,26552.55,416,3.59,50506.56,1.9,63.83
MKT-7092,New Product Drop 2023,Google Ads,2023-03-12,2023-03-26,18-24,125747,5075,4.04,2.23,11317.25,72,1.43,11216.16,0.99,157.18
MKT-7093,Retargeting Push 2023,TikTok Ads,2023-03-13,2023-03-27,All Ages,491999,4918,1.0,0.83,4081.94,322,6.56,13334.02,3.27,12.68
MKT-7094,Lead Gen Sprint 2023,Instagram Ads,2023-03-13,2023-04-10,All Ages,259052,9102,3.51,3.22,29308.44,120,1.32,10720.8,0.37,244.24
MKT-7095,New Product Drop 2023,TikTok Ads,2023-03-14,2023-04-03,35-44,39157,1571,4.01,3.84,6032.64,133,8.53,10459.12,1.73,45.36
MKT-7096,Summer Launch 2023,Facebook Ads,2023-03-14,2023-04-20,35-44,412696,3391,0.82,2.54,8613.14,273,8.06,27551.16,3.2,31.55
MKT-7097,Year-End Clearance 2023,Facebook Ads,2023-03-15,2023-04-09,18-24,135871,5189,3.82,1.47,7627.83,399,7.7,78148.14,10.25,19.12
MKT-7098,Spring Sale 2023,Google Ads,2023-03-15,2023-03-29,25-34,215890,7867,3.64,3.09,24309.03,613,7.8,121913.44,5.02,39.66
MKT-7099,Lead Gen Sprint 2023,Facebook Ads,2023-03-15,2023-04-15,45-54,411077,14164,3.45,3.91,55381.24,429,3.03,72676.89,1.31,129.09
MKT-7100,Back to School 2023,LinkedIn Ads,2023-03-16,2023-03-31,35-44,491405,10542,2.15,3.29,34683.18,156,1.49,12347.4,0.36,222.33
MKT-7101,Brand Awareness 2023,TikTok Ads,2023-03-17,2023-03-30,25-34,114256,2319,2.03,3.46,8023.74,186,8.03,39724.02,4.95,43.14
MKT-7102,Lead Gen Sprint 2023,TikTok Ads,2023-03-17,2023-04-15,45-54,88072,688,0.78,3.08,2119.04,17,2.59,465.46,0.22,124.65
MKT-7103,Summer Launch 2023,Instagram Ads,2023-03-19,2023-04-07,55+,297888,3067,1.03,1.25,3833.75,158,5.18,8509.88,2.22,24.26
MKT-7104,Retargeting Push 2023,Instagram Ads,2023-03-19,2023-04-07,18-24,178033,7252,4.07,3.01,21828.52,355,4.9,22265.6,1.02,61.49
MKT-7105,Year-End Clearance 2023,Facebook Ads,2023-03-20,2023-04-29,55+,191536,4181,2.18,1.31,5477.11,207,4.96,16218.45,2.96,26.46
MKT-7106,Spring Sale 2023,Instagram Ads,2023-03-21,2023-04-06,55+,51833,1594,3.08,0.43,685.42,128,8.05,22960.64,33.5,5.35
MKT-7107,Brand Awareness 2023,LinkedIn Ads,2023-03-22,2023-04-16,55+,235775,6130,2.6,2.32,14221.6,366,5.98,59991.06,4.22,38.86
MKT-7108,Retargeting Push 2023,TikTok Ads,2023-03-22,2023-05-03,45-54,368725,5522,1.5,3.95,21811.9,370,6.72,15177.4,0.7,58.95
MKT-7109,Lead Gen Sprint 2023,Instagram Ads,2023-03-23,2023-04-08,55+,252673,5848,2.31,2.13,12456.24,196,3.37,35021.28,2.81,63.55
MKT-7110,Brand Awareness 2023,TikTok Ads,2023-03-23,2023-04-01,45-54,446161,8235,1.85,2.14,17622.9,657,7.98,102400.02,5.81,26.82
MKT-7111,Brand Awareness 2023,LinkedIn Ads,2023-03-25,2023-04-13,35-44,244354,2364,0.97,2.91,6879.24,82,3.48,10765.78,1.56,83.89
MKT-7112,Spring Sale 2023,LinkedIn Ads,2023-03-25,2023-05-03,25-34,89890,754,0.84,2.59,1952.86,20,2.68,4203.0,2.15,97.64
MKT-7113,Brand Awareness 2023,Facebook Ads,2023-03-25,2023-05-03,35-44,331175,2216,0.67,2.37,5251.92,50,2.26,5629.0,1.07,105.04
MKT-7114,Retargeting Push 2023,LinkedIn Ads,2023-03-26,2023-04-21,25-34,72623,546,0.75,3.01,1643.46,42,7.84,2653.14,1.61,39.13
MKT-7115,Holiday Promo 2023,LinkedIn Ads,2023-03-26,2023-04-27,18-24,186512,8281,4.44,0.92,7618.52,664,8.03,90609.44,11.89,11.47
MKT-7116,Flash Sale 2023,LinkedIn Ads,2023-03-26,2023-05-02,45-54,175404,3583,2.04,0.6,2149.8,43,1.2,8822.74,4.1,50.0
MKT-7117,Flash Sale 2023,Instagram Ads,2023-03-26,2023-04-23,18-24,96214,2792,2.9,2.81,7845.52,120,4.31,25023.6,3.19,65.38
MKT-7118,Holiday Promo 2023,LinkedIn Ads,2023-03-27,2023-05-05,45-54,475973,5292,1.11,1.3,6879.6,200,3.8,43610.0,6.34,34.4
MKT-7119,Back to School 2023,Google Ads,2023-03-29,2023-04-13,35-44,278202,1433,0.52,4.12,5903.96,80,5.61,3538.4,0.6,73.8
MKT-7120,New Product Drop 2023,LinkedIn Ads,2023-03-29,2023-04-08,25-34,390911,16270,4.16,1.34,21801.8,788,4.85,124417.32,5.71,27.67
MKT-7121,Lead Gen Sprint 2023,LinkedIn Ads,2023-03-29,2023-04-12,25-34,216484,9470,4.37,3.22,30493.4,552,5.84,69579.6,2.28,55.24
MKT-7122,Holiday Promo 2023,TikTok Ads,2023-03-29,2023-05-05,18-24,9084,386,4.25,0.41,158.26,19,5.14,2660.76,16.81,8.33
MKT-7123,Brand Awareness 2023,LinkedIn Ads,2023-03-31,2023-04-07,All Ages,407718,5411,1.33,1.58,8549.38,459,8.5,32497.2,3.8,18.63
MKT-7124,Lead Gen Sprint 2023,TikTok Ads,2023-03-31,2023-04-15,All Ages,384490,15935,4.14,1.8,28683.0,929,5.83,125136.3,4.36,30.88
MKT-7125,Retargeting Push 2023,Instagram Ads,2023-04-01,2023-05-08,35-44,222912,4165,1.87,2.33,9704.45,51,1.24,5802.27,0.6,190.28
MKT-7126,Brand Awareness 2023,Instagram Ads,2023-04-01,2023-04-09,35-44,227571,8473,3.72,3.32,28130.36,545,6.43,70206.9,2.5,51.62
MKT-7127,Flash Sale 2023,Instagram Ads,2023-04-02,2023-04-14,18-24,389265,15508,3.98,4.19,64978.52,588,3.79,42912.24,0.66,110.51
MKT-7128,Summer Launch 2023,Google Ads,2023-04-02,2023-05-14,25-34,314952,3639,1.16,1.75,6368.25,103,2.84,5368.36,0.84,61.83
MKT-7129,Lead Gen Sprint 2023,Facebook Ads,2023-04-03,2023-04-16,55+,134721,1157,0.86,1.68,1943.76,31,2.69,3058.15,1.57,62.7
MKT-7130,Spring Sale 2023,TikTok Ads,2023-04-05,2023-04-17,18-24,328307,14401,4.39,0.31,4464.31,467,3.25,17914.12,4.01,9.56
MKT-7131,Retargeting Push 2023,LinkedIn Ads,2023-04-05,2023-05-02,35-44,51273,1136,2.22,4.11,4668.96,13,1.21,2104.18,0.45,359.15
MKT-7132,Year-End Clearance 2023,Facebook Ads,2023-04-05,2023-04-25,55+,250011,10778,4.31,3.13,33735.14,774,7.19,110503.98,3.28,43.59
MKT-7133,Flash Sale 2023,Facebook Ads,2023-04-08,2023-04-29,All Ages,87444,1304,1.49,0.48,625.92,99,7.63,2629.44,4.2,6.32
MKT-7134,Brand Awareness 2023,Instagram Ads,2023-04-08,2023-04-29,18-24,133661,4682,3.5,2.78,13015.96,90,1.93,7132.5,0.55,144.62
MKT-7135,Holiday Promo 2023,Instagram Ads,2023-04-09,2023-05-13,All Ages,478319,10757,2.25,1.59,17103.63,415,3.86,27514.5,1.61,41.21
MKT-7136,Lead Gen Sprint 2023,Google Ads,2023-04-09,2023-04-22,35-44,396250,17491,4.41,0.87,15217.17,1247,7.13,222427.39,14.62,12.2
MKT-7137,Back to School 2023,Instagram Ads,2023-04-09,2023-05-24,25-34,229388,2627,1.15,3.13,8222.51,129,4.94,12338.85,1.5,63.74
MKT-7138,Flash Sale 2023,LinkedIn Ads,2023-04-10,2023-04-18,All Ages,425445,10193,2.4,2.84,28948.12,245,2.41,31673.6,1.09,118.16
MKT-7139,Holiday Promo 2023,TikTok Ads,2023-04-10,2023-05-10,18-24,316913,6829,2.16,1.41,9628.89,581,8.52,16209.9,1.68,16.57
MKT-7140,Holiday Promo 2023,Instagram Ads,2023-04-11,2023-05-25,25-34,318851,11536,3.62,3.37,38876.32,988,8.57,85333.56,2.2,39.35
MKT-7141,Retargeting Push 2023,Google Ads,2023-04-13,2023-05-05,35-44,296783,2451,0.83,3.51,8603.01,102,4.16,3540.42,0.41,84.34
MKT-7142,Back to School 2023,Instagram Ads,2023-04-16,2023-05-15,18-24,387293,11237,2.9,1.14,12810.18,152,1.36,10533.6,0.82,84.28
MKT-7143,Lead Gen Sprint 2023,Google Ads,2023-04-17,2023-05-25,25-34,268447,3681,1.37,0.67,2466.27,98,2.68,8758.26,3.55,25.17
MKT-7144,Holiday Promo 2023,Facebook Ads,2023-04-17,2023-05-28,25-34,456757,5094,1.12,2.42,12327.48,55,1.1,7410.7,0.6,224.14
MKT-7145,Back to School 2023,TikTok Ads,2023-04-18,2023-05-26,25-34,405281,9451,2.33,2.25,21264.75,373,3.95,43323.95,2.04,57.01
MKT-7146,New Product Drop 2023,LinkedIn Ads,2023-04-18,2023-05-13,45-54,59128,1943,3.29,1.61,3128.23,150,7.74,26739.0,8.55,20.85
MKT-7147,New Product Drop 2023,LinkedIn Ads,2023-04-18,2023-04-26,25-34,280225,8174,2.92,0.38,3106.12,623,7.63,73675.98,23.72,4.99
MKT-7148,Summer Launch 2023,Facebook Ads,2023-04-19,2023-05-01,18-24,392173,11495,2.93,1.82,20920.9,382,3.33,41519.58,1.98,54.77
MKT-7149,Flash Sale 2023,Google Ads,2023-04-19,2023-05-14,All Ages,50374,2103,4.18,2.04,4290.12,178,8.51,15185.18,3.54,24.1
MKT-7150,Retargeting Push 2023,Instagram Ads,2023-04-20,2023-04-28,18-24,434971,18046,4.15,2.62,47280.52,706,3.91,58470.92,1.24,66.97
MKT-7151,Summer Launch 2023,Google Ads,2023-04-20,2023-05-17,18-24,333460,4512,1.35,1.17,5279.04,160,3.56,9083.2,1.72,32.99
MKT-7152,Flash Sale 2023,LinkedIn Ads,2023-04-20,2023-05-09,55+,446773,14061,3.15,3.35,47104.35,1259,8.96,33086.52,0.7,37.41
MKT-7153,Spring Sale 2023,LinkedIn Ads,2023-04-21,2023-04-28,18-24,349085,8978,2.57,1.47,13197.66,464,5.18,47174.88,3.57,28.44
MKT-7154,Summer Launch 2023,LinkedIn Ads,2023-04-21,2023-05-29,35-44,484457,4714,0.97,3.31,15603.34,315,6.69,52652.25,3.37,49.53
MKT-7155,Holiday Promo 2023,Instagram Ads,2023-04-21,2023-05-05,18-24,11896,361,3.04,3.43,1238.23,27,7.7,5413.77,4.37,45.86
MKT-7156,Year-End Clearance 2023,TikTok Ads,2023-04-21,2023-05-27,25-34,309041,8056,2.61,0.51,4108.56,543,6.75,92565.21,22.53,7.57
MKT-7157,Retargeting Push 2023,Google Ads,2023-04-22,2023-05-14,45-54,115517,3946,3.42,1.24,4893.04,76,1.94,14607.2,2.99,64.38
MKT-7158,New Product Drop 2023,Google Ads,2023-04-24,2023-06-07,55+,415048,18610,4.48,4.08,75928.8,607,3.26,64809.39,0.85,125.09
MKT-7159,Brand Awareness 2023,LinkedIn Ads,2023-04-24,2023-05-04,18-24,261804,5090,1.94,3.32,16898.8,63,1.24,7738.92,0.46,268.23
MKT-7160,Spring Sale 2023,LinkedIn Ads,2023-04-24,2023-06-06,All Ages,216764,7103,3.28,4.11,29193.33,631,8.89,28489.65,0.98,46.27
MKT-7161,Lead Gen Sprint 2023,Facebook Ads,2023-04-24,2023-05-07,35-44,202504,7354,3.63,3.68,27062.72,215,2.93,43860.0,1.62,125.87
MKT-7162,Brand Awareness 2023,Google Ads,2023-04-26,2023-05-10,55+,261570,6936,2.65,1.71,11860.56,104,1.5,6474.0,0.55,114.04
MKT-7163,Spring Sale 2023,TikTok Ads,2023-04-26,2023-05-29,18-24,338432,5229,1.55,2.24,11712.96,118,2.27,17334.2,1.48,99.26
MKT-7164,Year-End Clearance 2023,Google Ads,2023-04-27,2023-06-09,25-34,79110,512,0.65,3.14,1607.68,19,3.8,2582.1,1.61,84.61
MKT-7165,Back to School 2023,LinkedIn Ads,2023-05-02,2023-05-28,45-54,73207,1424,1.95,3.36,4784.64,96,6.8,5885.76,1.23,49.84
MKT-7166,New Product Drop 2023,TikTok Ads,2023-05-03,2023-06-03,All Ages,245135,7369,3.01,3.14,23138.66,338,4.59,31396.82,1.36,68.46
MKT-7167,Brand Awareness 2023,TikTok Ads,2023-05-03,2023-05-10,55+,482514,4397,0.91,1.89,8310.33,348,7.93,61167.96,7.36,23.88
MKT-7168,Summer Launch 2023,LinkedIn Ads,2023-05-04,2023-05-17,All Ages,162553,2204,1.36,4.16,9168.64,140,6.37,26212.2,2.86,65.49
